ticker,ETF,Exchange
BRZE,WCLD
WDAY,WCLD
CRWD,WCLD
PAYC,WCLD
FROG,WCLD
SMAR,WCLD
DOCN,WCLD
YEXT,WCLD
TENB,WCLD
KVYO,WCLD
S,WCLD
ZUO,WCLD
MDB,WCLD
PATH,WCLD
SHOP,WCLD
WK,WCLD
DBX,WCLD
ESTC,WCLD
BIGC,WCLD
DH,WCLD
ZS,WCLD
CWAN,WCLD
FSLY,WCLD
FIVN,WCLD
SNOW,WCLD
AMPL,WCLD
CRWD,BUG
ZS,BUG
S,BUG
NOC,BUG
GEN,BUG
FTNT,BUG
NET,BUG
PANW,BUG
OKTA,BUG
CHKP,BUG
VRNS,BUG
CYBR,BUG
TENB,BUG
ATEN,BUG
RPD,BUG
RDWR,BUG
QLYS,BUG
BB,BUG
OSPN,BUG
TLS,BUG
XOM,XLE
CVX,XLE
COP,XLE
EOG,XLE
SLB,XLE
MPC,XLE
PSX,XLE
PXD,XLE
VLO,XLE
OKE,XLE
WMB,XLE
HES,XLE
OXY,XLE
KMI,XLE
FANG,XLE
HAL,XLE
BKR,XLE
DVN,XLE
TRGP,XLE
CTRA,XLE
EQT,XLE
MRO,XLE
APA,XLE
SM,XOP
AR,XOP
FANG,XOP
PR,XOP
OVV,XOP
MPC,XOP
MTDR,XOP
VLO,XOP
PBF,XOP
PSX,XOP
SWN,XOP
HES,XOP
OXY,XOP
RRC,XOP
DINO,XOP
CVX,XOP
XOM,XOP
CNX,XOP
CTRA,XOP
PXD,XOP
CPE,XOP
CHRD,XOP
TPL,XOP
MRO,XOP
COP,XOP
EQT,XOP
DVN,XOP
CIVI,XOP
NOG,XOP
EOG,XOP
MUR,XOP
MGY,XOP
APA,XOP
VTLE,XOP
CRK,XOP
DK,XOP
CVI,XOP
PARR,XOP
KOS,XOP
CRC,XOP
GPRE,XOP
GPOR,XOP
TALO,XOP
TELL,XOP
STR,XOP
WKC,XOP
SBOW,XOP
WTI,XOP
CRGY,XOP
BRY,XOP
CLNE,XOP
VTS,XOP
EGY,XOP
REX,XOP














